"geoid","county","state","over_65","tot_pop","area","pub_tran","transp_pop","cz","hosp_beds","pov_tot_pop","pov_under_200fpl","state_geoid","cz_name"
"01001","Autauga County, Alabama","Alabama",8050,55200,594.44,26,24428,"1",85,54765,17243,"01","Autauga County, Bullock County, Butler County, Covington County, Crenshaw County, Elmore County, Lowndes County, Montgomery County, Pike County"
"01003","Baldwin County, Alabama","Alabama",40665,208107,1589.78,82,91420,"2",398,204929,57843,"01","Baldwin County, Mobile County, Washington County, George County, Greene County, Hancock County, Harrison County, Jackson County, Pearl River County, Stone County"
"01005","Barbour County, Alabama","Alabama",4634,25782,884.88,22,8538,"3",74,22856,12073,"01","Barbour County, Calhoun County, Clay County, Early County, Quitman County, Randolph County"
"01007","Bibb County, Alabama","Alabama",3661,22527,622.58,37,7946,"4",35,20468,7968,"01","Bibb County, Blount County, Chilton County, Jefferson County, St. Clair County, Shelby County"
"01009","Blount County, Alabama","Alabama",10233,57645,644.78,31,21148,"4",40,57082,20795,"01","Bibb County, Blount County, Chilton County, Jefferson County, St. Clair County, Shelby County"
"01011","Bullock County, Alabama","Alabama",1616,10352,622.8,0,3940,"1",61,9909,4767,"01","Autauga County, Bullock County, Butler County, Covington County, Crenshaw County, Elmore County, Lowndes County, Montgomery County, Pike County"
"01013","Butler County, Alabama","Alabama",3806,20025,776.83,0,7769,"1",94,19707,9473,"01","Autauga County, Bullock County, Butler County, Covington County, Crenshaw County, Elmore County, Lowndes County, Montgomery County, Pike County"
"01015","Calhoun County, Alabama","Alabama",19386,115098,605.87,152,47147,"5",590,111981,46441,"01","Calhoun County, Clay County, Cleburne County, Coosa County, Randolph County, Talladega County, Tallapoosa County"
"01017","Chambers County, Alabama","Alabama",6409,33826,596.53,27,14396,"6",115,33274,14986,"01","Chambers County, Lee County, Macon County, Russell County, Chattahoochee County, Harris County, Marion County, Meriwether County, Muscogee County, Talbot County, Troup County"
"01019","Cherokee County, Alabama","Alabama",5621,25853,553.7,22,9671,"7",60,25501,10793,"01","Cherokee County, DeKalb County, Etowah County, Jackson County, Marshall County"
"01021","Chilton County, Alabama","Alabama",6927,43930,692.85,0,17207,"4",26,43260,18053,"01","Bibb County, Blount County, Chilton County, Jefferson County, St. Clair County, Shelby County"
"01023","Choctaw County, Alabama","Alabama",2884,13075,913.5,0,4128,"8",25,12875,6032,"01","Choctaw County, Clarke County, Dallas County, Marengo County, Perry County, Wilcox County"
"01025","Clarke County, Alabama","Alabama",4626,24387,1238.46,11,7529,"8",85,23963,10858,"01","Choctaw County, Clarke County, Dallas County, Marengo County, Perry County, Wilcox County"
"01027","Clay County, Alabama","Alabama",2652,13378,603.96,0,5427,"5",45,13040,5793,"01","Calhoun County, Clay County, Cleburne County, Coosa County, Randolph County, Talladega County, Tallapoosa County"
"01029","Cleburne County, Alabama","Alabama",2803,14938,560.1,1,5355,"5",NA,14659,6156,"01","Calhoun County, Clay County, Cleburne County, Coosa County, Randolph County, Talladega County, Tallapoosa County"
"01031","Coffee County, Alabama","Alabama",8375,51288,678.97,0,22274,"9",131,50502,17065,"01","Coffee County, Dale County, Geneva County, Henry County, Houston County"
"01033","Colbert County, Alabama","Alabama",10502,54495,592.62,22,22074,"10",363,53991,19849,"01","Colbert County, Franklin County, Lauderdale County"
"01035","Conecuh County, Alabama","Alabama",2707,12514,850.16,8,3876,"11",58,12381,7228,"01","Conecuh County, Escambia County, Monroe County"
"01037","Coosa County, Alabama","Alabama",2368,10855,650.93,18,3995,"5",NA,10452,4275,"01","Calhoun County, Clay County, Cleburne County, Coosa County, Randolph County, Talladega County, Tallapoosa County"
"01039","Covington County, Alabama","Alabama",7650,37351,1030.46,7,14709,"1",187,36586,14659,"01","Autauga County, Bullock County, Butler County, Covington County, Crenshaw County, Elmore County, Lowndes County, Montgomery County, Pike County"
"01041","Crenshaw County, Alabama","Alabama",2542,13865,608.84,30,5561,"1",93,13661,5976,"01","Autauga County, Bullock County, Butler County, Covington County, Crenshaw County, Elmore County, Lowndes County, Montgomery County, Pike County"
