State,Date of First Shutdown,Level of First Shutdown,Industry Closed in First Shutdown,Details of First Shutdown,Type of Order,Initial Expiration Date,Expiration Notes,Expiration Sources,Date of Start of First Opening,Industry First Opening,Level of First Opening,Details of First Opening,Opening Plan Type and Description,Gathering Limit Under Lockdown,Guideline or Requirement,Gathering Limit at Reopening,Gathering Limit 6/5,Governor Gender,Sources,Government Source,Notes/Links for re-opening plans,,
Alabama,4/3/2020,Full,"Entertainment, personal care, outdoor and recreation, education","Started with county shutdowns on March 17th, followed by a statewide order. Beaches were ordered to be closed before the state wide order was issued. Houses of worship were deemed essential, as were bookstores, restaurants, and bars. These essential businesses could only offer curbside and takeout options.",Health Mandate,4/30/2020,"Did not extend stay at home order, but instead, amended to a safer at home order which has since been extended. ",https://www.foxnews.com/us/alabama-stay-at-home-order-reopen-economy-kay-ivey-phases,4/30/2020,"Outdoor and recreation, all retail, personal care",Partial,"Gatherings of more than 10 people are still prohibited. Restaurants and bars still cannot offer dine in. All retail can open at 50% capacity. Senior citizen centers are still under lockdown and hospitals have strict visitation policies. Schools are still closed for in-person instruction. As of May 21, theaters, sporting events and other entertainment events were allowed to open if they followed social distancing guidelines. ","Three phase plan:

Phase 1 (Red) stay at home: This was the stay at home order phase. People could only leave the house for essential activities. 

Phase 2 (Yellow) safer at home: People can leave the house and businesses can begin to reopen, but people are encouraged to stay at home as much as possible. 

Phase 3 (Green) safer apart: This is the end goal. The state has yet to release specific details on this phase. ",10,R,10,NA,F,"https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf  

https://www.al.com/news/2020/04/gov-kay-ivey-press-conference-on-plans-for-reopening-alabama-watch-live.html


https://abc3340.com/news/coronavirus/governor-kay-ivey-announces-plan-to-reopen-alabama-economy",TRUE,https://www.montgomeryadvertiser.com/story/news/2020/05/21/alabama-reopen-kay-ivey-coronavirus-restrictions-theaters-sports-child-care/5237115002/ updates on re-opening as of May 21,,
Alaska,3/17/2020,Partial,"Entertainment, personal care, elective healthcare, education, food and drink, houses of worship, outdoor and recreation","Health mandates restricted gathering of more than 10 people. Elective medical services were not to be provided. Libraries and museums were all closed. Outdoor activites were still permitted, including hunting and fishing, as long as social distancing was maintained. ",Health Mandate,4/1/2020,"Public facilities, including libraries, museums, restaurants and bars, were ordered to close on March 17th until April 1st. This was later extended to April 24th. ",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,4/24/2020,"personal care, retail, outdoor and recreation",Partial,"Gatherings of more than 20 people are prohibted. Restaurants and businesses can open, but they are only allowed to have 20 people or 25% capacity, which ever comes first. Most places require a reservation, including personal care services. Anchorage seems to be on a different timeline. ","Four phase plan: 

Detailed description and graphics of the plan can be found here. ",10,R,20,50,M,"https://www.adn.com/alaska-news/2020/04/25/what-the-reopening-looks-like-under-plans-from-anchorage-and-the-state-of-alaska/ 

https://covid19.alaska.gov/health-mandates/",TRUE,,,
Arkansas,3/20/2020,Partial,"Entertainment, food and drink, outdoor and recreation","Did not have a stay at home order, but instead issued a health directive with minimal restrictions. Restaurants and bars were closed to dine in service and indoor entertaiment venues and gyms were forced to close. Seems to be the most lenient state on restrictions. Gatherings of more than 10 people were prohibited indoors, but not outdoors. ",Health Mandate,4/10/2020,"Did not have a stay at home order, but had a health mandate with minimal restrictions. These restrictions, especially for schools, were only supposed to last 3 weeks, but did not begin to be lifted until May 4th. ",,5/4/2020,Outdoor and recreation,Partial,Gyms and all athletic facilities were allowed to open at full capacity with minimal restrictions. Everything else is scheduled to phase open. Everything is scheduled to be open by June 1st. ,"Doesn't have an official plan outlined, but has provided a series of health directives for a phased reopening of industries. ",10,R,50,50,M,"https://www.healthy.arkansas.gov/images/uploads/pdf/Directive_03.19.2020_final.pdf
https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus#Directives
https://www.healthy.arkansas.gov/images/uploads/pdf/gatherings_directive_final_3.26.20.pdf
https://www.healthy.arkansas.gov/images/uploads/pdf/directive_gym_fitness.pdf",TRUE,https://katv.com/news/coronavirus/arkansas-eases-restrictions-on-event-venues-announces-new-guidelines-for-churches,,
Arizona,3/31/2020,Partial,"Entertainment, food and drink, houses of worship, outdoor and recreation, retail, education","Outdoor recreation and personal care facilities were deemed essential and allowed to stay open. Gyms and entertainment venues were asked to close. They also allowed houses of worship to remain open to assist those in need but not to hold regular services. Funeral services, daycares, manufacturing, and transporation were among the categories deemed essential",Executive Stay-at-Home Order,4/30/2020,The initial stay at home order was extended for two weeks and was not extended again. The order was then replaced by other orders that phased reopenings. ,https://www.12news.com/article/news/health/coronavirus/skeleton-ducey-stay-at-home-order-moves/75-0ee26dce-7e05-42fb-91f3-6d822e593348,5/13/2020,Retail,Partial,Retail could begin voluntarily opening on May 4th. Spas and public swimming pools would reopen on May 13th and restaurants are supposed to open sometime during May. ,"There aren't any set phases or plans that Arizona has released. Instead, they are offering guidance for individual sectors",10,G ,10,10,M,"https://www.azcentral.com/story/news/politics/arizona/2020/05/12/watch-live-arizona-gov-ducey-holds-3-p-m-press-conference/3116756001/ 

https://azcapitoltimes.com/news/2020/04/29/ducey-extends-modified-stay-at-home-order-until-may-15/

https://azgovernor.gov/sites/default/files/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0.pdf

https://azgovernor.gov/sites/default/files/eo_2021_0.pdf",TRUE,https://www.jdsupra.com/legalnews/arizona-ends-stay-at-home-order-50698/,,
California,3/19/2020,Full,"Entertainment, food and drink, houses of worship, retail, education,  outdoor and recreation,  personal care, retail","Instead of identifying their own essential businesses, California followed guidelines established by the cybersecurity and infrastructure security agency (CISA). CISA has identified 16 key sectors that are essential for a state to continue operations. Those sectors with detailed descriptions can be found here. ",Executive Stay-at-Home Order,,"No initial expiration date, but reopenings were announced on May 4th, 2020 which was 9 days before businesses started opening, so people might have been inclined to break quarantine early. After the reopening was announced, it was left to the counties to set dates of reopening, which have since been extended for several counties. ",https://covid19.ca.gov/stay-home-except-for-essential-needs/,5/13/2020,"Food and drink, retail",County-based,"Beginning May 12, counties can begin opening restaurants and shopping malls if they are meeting state benchmarks","Four stage plan within stay-at home order:

Stage 1- Safety and Prepardness: Everything is under lockdown in this stage

Stage 2- Lower-Risk Workplaces: where retail (curbside and delivery only), related logistics and manufacturing, office workplaces, limited personal services, outdoor museums, child care, and essential businesses can open with modifications. The state is issuing guidance to help these workplaces reopen safely.

Stage 3- Higher-Risk Workplaces can begin to open. 

Stage 4- End of Stay at Home Order",0,R,0,0,M,"https://www.latimes.com/california/story/2020-05-12/gavin-newsom-restaurants-malls-offices-guidelines-reopening-california-coronavirus-rules
https://covid19.ca.gov/roadmap/#stage-1
https://www.gov.ca.gov/wp-content/uploads/2020/03/3.19.20-attested-EO-N-33-20-COVID-19-HEALTH-ORDER.pdf
https://www.cisa.gov/sites/default/files/publications/Version_3.0_CISA_Guidance_on_Essential_Critical_Infrastructure_Workers_1.pdf",TRUE,,,
Colorado,3/26/2020,Full,"Entertainment, food and drink, retail, personal care, houses of worship, outdoor recreation, education","State parks were allowed to stay open, but pretty much all other forms of recreation were required to close. One of the more strict guidelines for what businesses can stay open. Marijuana dispenseries were deemed essential. People are prohibited from spending time with others outside of their residence",Executive Stay-at-Home Order,4/26/2020,"The state did not extend the stay-at-home order, but many counties took it upon themselves to extend the order until May 8th.",https://kdvr.com/news/coronavirus/list-which-cities-counties-in-colorado-have-extended-stay-at-home-orders/,4/26/2020,"Personal care, retail, industries (office and manufacturing), outdoor recreation. ",County-based,Curbside retail was allowed starting April 27th. Real estate showings were allowed to begin. Retail fully opened with capacity restrictions on May 1st and offices were allowed to open with restrictions May 4th.,"Three phase plan: 

Phase 1- Stay at Home: people stay at home except for essential travels

Phase 2- Safer at Home: people still stay at home quite often, but can start making non-essential travels. Vulnerable populations remain under strict restrictions.

Phase 3- Protect our Neighbors: people can begin socializing more normally. Vulnerable populations are still under strict restrictions. ",0,R,10,10,M,"https://www.colorado.gov/pacific/sites/default/files/atoms/files/Bars%20Restaurants%20PH%20order.pdf
https://cha.com/wp-content/uploads/2020/04/Fourth-Updated-Public-Health-Order-Authorized-Business.pdf
https://www.colorado.gov/governor/news/gov-polis-announces-statewide-stay-home-order-provides-update-colorado-response-covid-19
https://drive.google.com/file/d/1O1EDCY6-A6QBKxzDImCSF8bBBdOOI3Km/view
https://sjbpublichealth.org/wp-content/uploads/2020/03/Public_Health_Order_20-20_3-25-20.pdf
https://www.thedenverchannel.com/news/coronavirus/coronavirus-in-colorado-latest-covid-19-updates-from-may-8-2020",TRUE,https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state#colorado,,
Connecticut,3/23/2020,Full,"Entertainment, food and drink, retail, personal care, houses of worship, outdoor recreation, education","The Connecticut Department of Economic and Community Development issued a list of essential businesses found here. If the business was not on the list, they were required to shut down. This left most entertainment entities and outdoor recreation activities forced to close. People were not allowed to gather in groups of more than 5 people. ",Executive Stay-at-Home Order,4/22/2020,"This Executive Order was modified once to extend it to May 20th. The extension was announced on April 10th, nearly two weeks before the initial expiration date. ","https://www.natlawreview.com/article/connecticut-tells-employers-to-stay-safe-stay-home
https://www.courant.com/coronavirus/hc-news-coronavirus-updates-0410-20200410-bzxojexxy5fxpolmppsb6uieuy-story.html",5/20/2020,"Retail, personal care, entertainment, food and drink, ",Partial,"This state has issued recommendations for how to open, but leaves it up to businesses as to when they want to open. Some restrictions from the state include museums and zoos can only be outside. Campsites, trails, and other outdoor recreation activities are now allowed. Retail stores can open as they wish as long as they follow social distancing guidelines. ",Four phase plan to reopen. Details can be found here. ,5,R,10,10,M,"https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7H.pdf?la=en
https://www.courant.com/coronavirus/hc-news-coronavirus-reopen-ct-plan-20200430-eadahcvhgzb5bosk3zohbiksdu-story.html
https://ctsenaterepublicans.com/2020/03/essential-businesses-that-can-remain-open-guidance-from-decd/#.XscJFi-z1QI
https://abc7ny.com/reopen-connecticut-reopening-businesses-ct/6188462/
",TRUE,,,
Delaware,3/24/2020,Full,"Entertainment, food and drink, personal care, retail, outdoor recreation, industries, education. ","The Governor issued a shelter in place, although it was not given by an Executive Order. It was instead directed under modifications to the state of emergency declaration issued by the Governor's office. They did not allow any gatherings of any groups outside immediate family units. Houses of worship were deemed essential. ",State of Emergency Declaration,5/15/2020,Stay at home order was extended from May 15th to June 1st. ,"https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Fourth-Modification-to-State-of-Emergency-03222020.pdf
https://delawarebusinesstimes.com/news/carney-june-phase-1/",6/1/2020,"Retail, personal care, entertainment, food and drink, entertainment. ",Partial,"Sit down dining can take place. Gyms, movie theatres, and sporting venues are allowed to open as long as social distancing guidelines are adhered to. Houses of worship are also allowed to open under the same conditions. Beaches and other recreation will remain closed despite the approach of tourist season. ",Following the reopening phases recommended by the White House. ,0,R,10,10,M,"https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Fourth-Modification-to-State-of-Emergency-03222020.pdf
https://delawarebusinesstimes.com/news/carney-june-phase-1/",TRUE,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-1_Revised-6.6.20.pdf,Industries,Retail
Florida,4/3/2020,Partial,"Entertainment, personal care, food and drink, retail, outdoor recreation, education, houses of worship. ",Gatherings of more than 10 individuals were prohibited. Restaurants were limited to take out. Beaches remained open but people could not congregate in groups of more than 10. All entertainment venues and athletic facilities were asked to close with few exceptions. Personal care services were closed. ,Executive Stay-at-Home Order,4/30/2020,Executive order was only for 30 days. The state has received a lot of criticism for how they have handled the outbreak. Beaches were allowed to open which may have caused spikes in cases. ,https://people.com/health/when-states-will-lift-stay-at-home-orders/,5/4/2020,"Food and drink, retail, personal care, recreation, houses of worship",County-based,"Miami-Dade and Broward counties are still shut down since they are hotspots for the virus. Pretty much the rest of the state has begun entering stage one, although retail businesses, restaurants and other entities have been asked to operate at 25% capacity as opposed to 50% capacity. ","There is a four phase plan to reopen: 

Phase 0: Stay at home. People were asked to stay at home aside from essential activities

Phase 1: Restaurants cannot excede 50% capacity and must implement social distancing, Bars, nightclubs, and pubs that derive 50% of sales from alcohol remain closed. Beaches still under the same restrictions and some state parks can open. Athletic facilities can open at 50% capacity. People should still not gather in more than 10 people. 

Phase 2: Should limit social gatherings to no more than 50 people. Individuals may resume non essential travel. Bars, pubs, and nightclubs can open at 50% capacity. Restaurants, personal services, and athletic facilities can operate at 75% capacity with social distancing maintained. Recreation is fully open including beaches and state parks. Large entertainment events can operate at 50% capacity.

Phase 3: Should limit time in crowded areas. Bars, restaurants, athletic facilities, and personal services can all operate at full capacity with limited social distancing measures implemented. ",10,R,10,10,M,"https://www.flgov.com/wp-content/uploads/covid19/Taskforce%20Report.pdf
https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-91-compressed.pdf
https://www.wptv.com/news/state/miami-dade-broward-counties-allowed-to-join-floridas-reopening-plan",TRUE,,,Industries
Georgia,4/2/2020,Full,"Entertainment, food and drink, houses of worshipl, education,  outdoor and recreation,  personal care, retail","Followed the 16 key infrastructure industries identified by Homeland Security to define essential busineeses. People were only allowed to leave their homes for essential activities or for essential work. Otherwise, people were required to work from home. ",Executive Stay-at-Home Order,4/6/2020,Original order was set to expire on April 6th but was then extended through the end of the month. The Governor then began easing restrictions early. ,"https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders
https://www.usnews.com/news/best-states/georgia/articles/2020-04-08/kemp-to-extend-georgia-state-of-emergency-through-may-13",4/24/2020,"outdoor recreation, entertainment, personal care, food and drink. ",Partial,"Georgia began opening the state before the stay at home order was set to expire on April 30th. This was controversial as others did not think the state was ready to reopen. Restaurants can offer dine in. Gyms are allowed to open with limited capacity, as are personal care services. Bowling alleys and theaters are allowed to open if social distancing measures are implemented. ","Atlanta has a five phase plan to reopen their city. See here. 

The rest of the state didn't phase in opening, but just opened entirely within one week. ",0,R,10,25,M,"https://georgia.gov/covid-19-state-services-georgia/covid-19-statewide-shelter-place-order
https://www.ajc.com/blog/atlanta-restaurants/live-updates-metro-atlanta-restaurants-reopen-dining-rooms/7a7GaDzpyr5E15t3BRrvdJ/",TRUE,https://www.npr.org/2020/05/01/847415273/south-coronavirus-related-restrictions-by-state#georgia,,Personal Care
